id,question,answer,uid_id
1,서비스가 시작되기 전 어떤 절차로 진행하나요?,"전화상담으로 진행합니다
현장상태 확인 및 시간 조율등 고객분들의 원하시는 부분 체크하여 맞춤형 서비스를 제공하도록 합니다",1
2,어떤 서비스를 전문적으로 제공하나요?,"이사입주.신축입주.준공.사무실.상가.
외벽등 다양한 분야를 취급합니다
에어컨분해청소.세탁기분해청소.침대매트리스청소.소파청소. 가전 및 가구도 서비스를 제공합니다
줄눈시공.실리콘 시공 작업도 제공합니다
마루왁스코팅.씽크대상판연막코팅.유리막코팅.나노코팅 작업도 제공 합니다",1
3,서비스의 견적은 어떤 방식으로 산정 되나요?,"평당가(분양평수)기준으로 진행합니다
단,현장에서 추가 증축물(구조물.서비스 면적.4베이구조.베란다갯수)등이 있는 경우 추가비용 부분이 있을 수 있습니다",1
4,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,"이사입주.신축입주등 입니다
현장 상황(평수.오염도)에 시간은 달라 집니다
시간의 정함 없이 컨디션이 나올때
작업은 마무리 됩니다",1
5,A/S 또는 환불 규정은 어떻게 되나요?,"일반적인 절차는
작업후 고객님의 현장검수가 필수입니다
부득이 사정이 여의치 않는 고객분께는
작업전.후 사진으로도 서비스합니다
작업시 발생하는 하자는 100% 책임을
원칙으로 합니다",1
6,서비스가 시작되기 전 어떤 절차로 진행하나요?,상담->현장방문->해충유무확인->방역진행->예방법안내->결제진행,2
7,어떤 서비스를 전문적으로 제공하나요?,코로나예방소독 / 바퀴 / 개미 / 쥐 / 기타보행해충 / 빈대 / 벼룩 / 옴진드기 / 저곡해충 (권연벌레 / 톱가슴머리대장 / 쌀바구미 / 화랑곡나방) / 매트리스 케어(집먼지진드기),2
8,서비스의 견적은 어떤 방식으로 산정 되나요?,"면적에따라 달라집니다.(공급면적기준)
바퀴벌레퇴치기준(상황에따라금액은조정될수있습니다.)
1평~9평 6만원 
10평~19평 7만원 
20평~29평 8만원
30평~39평 9만원
40평~49평 10만원
50평~59평 11만원",2
9,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,소요신간은 면적에따라 상황에 따라서 달라집니다.최소30분~최대2시간 소요됩니다.,2
10,A/S 또는 환불 규정은 어떻게 되나요?,"해충은 제품이 아니고 유입경로가 매우 다양하고 유입경로를 차단하는데 한계가 있기 때문에 A/S 또는 환불이 어렵습니다.
하지만 정기적인 관리로 번식을 최대한억제 하며 박멸되도록 최대한 노력하겠습니다.",2
11,서비스가 시작되기 전 어떤 절차로 진행하나요?,"디테일한 상담을 통해 고객님의 상황을 모두 파악한후 가장 알맞는 방법으로  청소를 완벽하게 준비합니다
1. 고용하기 2. 상담통화 3. 예약문자발송",3
12,어떤 서비스를 전문적으로 제공하나요?,"입주/상가/사무실 등을  방, 창문, 창문틀, 서랍장, 전등, 내부 전체적으로 탈거및 분리하여 구석구석 청소",3
13,서비스의 견적은 어떤 방식으로 산정 되나요?,"고객님댁의 공급평수를 추산해 일반청소 견적을 드리고, 부가 선택에 따라 프리미엄청소나 무균청소등을 진행합니다",3
14,완료한 서비스 중 대표적인 서비스는 무엇인가요? 소요 시간은 얼마나 소요 되었나요?,가장 보편적인 일반입주 32평 아파트기준 5시간이며 인원은 3명~4명입니다.,3
15,A/S 또는 환불 규정은 어떻게 되나요?,최초 검수시 고객님과 반듯이 동행해서 검수하며 최초 미발견으로 인한 as는 5일내로 서비스 진행합니다.,3
